State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Households_with_Computer,Graduate_Education,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Having_bathing_facility_Total_Households,Households_with_Television,sex_ratio,literacy_rate
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,38570,547206,96301,204507,136247,43536,374021,369857,547214,374021,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,728556,59523,227382,549069,30572,378113,267090,259502,378113,98.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,253131,18983,64607,277773,8096,74614,130736,59109,74614,98.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,49249,4543,9128,14642,3163,28433,40951,40804,28433,53.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,498326,26991,139957,189600,17447,318954,313730,344568,318954,95.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,498326,26991,139957,189600,17447,318954,313730,344568,318954,95.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,173951,56266,86781,41713,44342,146307,140924,159976,146307,96.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,138810,44299,57460,37799,35031,115535,116414,129135,115535,99.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,1456046,273651,839295,680535,174812,1159650,1241055,1295122,1159650,90.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,273331,12765,50999,96477,10236,164282,173045,201157,164282,96.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,378310,32523,110351,172466,19352,203467,230571,254683,203467,92.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,396873,23149,66950,75914,22723,144792,146022,229091,144792,94.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,309091,29531,74380,96508,21579,178535,204943,261660,178535,93.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,500757,28925,93391,238912,17517,293361,292210,375112,293361,93.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,262539,33662,108400,121735,26385,178594,171166,193174,178594,92.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,386538,30384,87523,157250,20471,270555,242841,285899,270555,94.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,403294,31961,60386,83904,28788,250397,280257,329920,250397,91.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,372226,24502,84223,146364,12788,171342,172599,220959,171342,94.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,385609,33731,130723,143818,25163,245131,232825,290574,245131,93.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,101940,4081,14748,29316,2442,31194,27223,65190,31194,96.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,267679,24397,85041,136665,18669,153431,168150,201380,153431,96.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,398937,19753,71810,120545,9656,90896,121676,181557,90896,95.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,223424,12870,46355,66270,7802,108006,123977,157715,108006,94.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,117040,5639,22458,40784,4395,80820,72287,79955,80820,95.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,747352,67370,266295,355586,55289,571843,543342,593448,571843,93.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,438606,25425,110817,112045,22379,180909,182583,231094,180909,95.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,1252452,149331,379505,397563,106983,788447,1103767,1150519,788447,79.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,302068,15309,58389,135074,10088,177591,120741,192991,177591,93.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,29794,1393,3490,6914,991,9262,13736,20702,9262,101.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,798277,117818,314960,399901,72630,497049,543474,632580,497049,93.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,329218,31285,90912,119338,23938,188248,170861,232568,188248,92.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,199681,32767,91472,133676,26122,172034,142922,186183,172034,88.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,266244,25236,104875,99232,16793,176336,175689,241914,176336,89.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,333171,82673,259933,170927,63470,279652,296399,313812,279652,87.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,153301,13142,37741,86268,14030,107042,134586,152219,107042,90.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,305751,102343,233402,103261,92934,248024,271169,290709,248024,85.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,285004,33400,105346,147721,24642,202588,231144,273915,202588,87.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,168558,19241,58826,69952,14298,128007,123545,153834,128007,86.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,222462,23750,64599,113068,15836,160742,146428,186317,160742,87.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,187349,15301,51043,95704,12792,140195,126896,153556,140195,88.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,267223,29253,101387,143754,26238,215813,215989,238149,215813,89.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,171908,21951,71007,107683,20261,143316,136321,152922,143316,89.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,135455,13908,60296,54810,8538,88012,74605,113329,88012,89.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,103455,32174,83256,42737,29497,88378,77967,94560,88378,87.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,209965,26719,75774,90548,17466,162321,176766,191098,162321,86.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,152651,18092,65143,71366,12161,108753,100436,134804,108753,90.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,193120,27225,100346,91682,16545,150160,147990,174390,150160,87.0,70.0
